,PC,Value
F1amplitudeLogRelF0_sma3nz_stddevNorm,PC1,0.9054695969661638
F2amplitudeLogRelF0_sma3nz_stddevNorm,PC1,0.9022429682895677
F3amplitudeLogRelF0_sma3nz_stddevNorm,PC1,0.8661290387839818
spectralFlux_sma3_stddevNorm,PC1,0.7879271319350827
loudness_sma3_stddevNorm,PC1,0.7264648780028816
StddevUnvoicedSegmentLength,PC1,0.5530060145118249
F3amplitudeLogRelF0_sma3nz_amean,PC1,-0.9639478025454102
F1amplitudeLogRelF0_sma3nz_amean,PC1,-0.9669509120429589
F2amplitudeLogRelF0_sma3nz_amean,PC1,-0.9674290424482779
slopeV0-500_sma3nz_amean,PC2,-0.5319434606045677
F3bandwidth_sma3nz_stddevNorm,PC2,-0.5933382418589432
F2bandwidth_sma3nz_stddevNorm,PC2,-0.6625357903356249
HNRdBACF_sma3nz_amean,PC2,-0.8786903559350698
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,PC2,-0.9285163305581793
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,PC2,-0.9591349297782168
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,PC2,-0.981332386919892
F0semitoneFrom27.5Hz_sma3nz_amean,PC2,-0.9837521603006857
loudness_sma3_stddevRisingSlope,PC3,0.5606266393731565
mfcc2_sma3_amean,PC4,-0.8837316302989349
mfcc2V_sma3nz_amean,PC4,-0.9255857033733953
F1bandwidth_sma3nz_stddevNorm,PC5,0.7762696741155313
hammarbergIndexV_sma3nz_stddevNorm,PC5,0.7281114283239593
F2frequency_sma3nz_stddevNorm,PC5,0.7194274079387557
VoicedSegmentsPerSec,PC5,0.7082769598826748
F3bandwidth_sma3nz_amean,PC6,-0.5286897479955299
F2bandwidth_sma3nz_amean,PC6,-0.8320035212218941
F1bandwidth_sma3nz_amean,PC6,-0.8557561967796632
