,PC,Value
F1amplitudeLogRelF0_sma3nz_stddevNorm,PC1,0.8860426516897723
F2amplitudeLogRelF0_sma3nz_stddevNorm,PC1,0.8611670923467613
spectralFlux_sma3_stddevNorm,PC1,0.7887124015752318
StddevUnvoicedSegmentLength,PC1,0.5631018920884555
F3amplitudeLogRelF0_sma3nz_amean,PC1,-0.9280413413017333
F2amplitudeLogRelF0_sma3nz_amean,PC1,-0.9367132513194886
F1amplitudeLogRelF0_sma3nz_amean,PC1,-0.9473538278524292
slopeV0-500_sma3nz_amean,PC2,-0.5296369863202016
F3bandwidth_sma3nz_stddevNorm,PC2,-0.5897384673532969
F2bandwidth_sma3nz_stddevNorm,PC2,-0.6604288064065458
HNRdBACF_sma3nz_amean,PC2,-0.8789395779324842
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,PC2,-0.9288808893260543
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,PC2,-0.9578801278374445
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,PC2,-0.9800662089152019
F0semitoneFrom27.5Hz_sma3nz_amean,PC2,-0.9831705624717426
loudness_sma3_pctlrange0-2,PC3,0.9277838982337581
loudness_sma3_meanRisingSlope,PC3,0.7224844714910726
loudness_sma3_stddevRisingSlope,PC3,0.5999819871880302
mfcc2_sma3_amean,PC4,-0.8957972204237221
mfcc2V_sma3nz_amean,PC4,-0.9373276057278005
mfcc1_sma3_stddevNorm,PC5,0.8063207117382136
F1bandwidth_sma3nz_stddevNorm,PC5,0.7766545863414469
F2frequency_sma3nz_stddevNorm,PC5,0.7260397098382201
VoicedSegmentsPerSec,PC5,0.711848695733755
F3bandwidth_sma3nz_amean,PC6,-0.5327580634720241
F2bandwidth_sma3nz_amean,PC6,-0.8278427469020502
F1bandwidth_sma3nz_amean,PC6,-0.8525421633758974
