F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,game
32.97984,0.20724288,31.574036,33.00226,36.187656,4.6136208,306.77097,535.40125,123.05374,187.82843,0.72542787,0.72963977,0.20697227,0.65630645,1.2166247,1.0096525,12.705549,7.2421227,8.628695,4.8201222,0.5204345,0.8906978,26.848059,0.90024203,9.223954,2.3842936,9.23633,2.164365,-10.912553,-1.693885,0.050566826,2.0076766,1.4154885,0.8137704,5.0609746,1.2316905,3.4012537,4.3381205,26.207268,0.72028524,615.42957,0.33992082,1229.0621,0.23105285,-46.30866,-1.6747237,1705.8748,0.18666911,934.94257,0.43227407,-56.357132,-1.224778,2711.3293,0.11627544,860.3501,0.42723018,-59.67326,-1.1227515,-17.643497,-0.70814764,26.99326,0.4980407,0.09679535,0.33234212,-0.039165255,-0.47007015,0.6217119,0.71633035,33.398254,0.60468966,8.648255,2.4823217,9.477948,2.1957555,-14.379882,-1.2310908,-5.534244,15.329204,0.024566969,-0.0057002944,0.11246344,3.9975896,1.8097728,0.43666667,0.32015967,0.10658228,0.11977707,-26.194897,XW419A_Note_Alpha_Speaker.mp3
26.781704,0.26808882,24.415615,25.586575,27.223839,2.8082237,515.2816,802.74146,102.41697,131.81026,0.213938,1.0236735,0.019543493,0.16824858,0.35433698,0.33479348,4.381664,3.3608344,3.3786755,3.1410809,0.101471,1.2696038,23.588121,1.098312,14.344539,1.2698653,12.874381,1.3110456,10.347936,1.576359,0.032445733,2.166631,1.3874091,0.882058,5.098084,0.7905856,8.342192,1.5529935,36.449387,0.57686603,555.9322,0.43828773,1319.6226,0.22748621,-94.404915,-0.9612617,1575.3398,0.19128406,1031.0298,0.31415135,-100.77033,-0.8305078,2653.2659,0.12848309,989.9794,0.38191947,-106.21171,-0.7446666,-20.01886,-0.7032311,32.324455,0.49809664,0.021199415,1.6094598,-0.02294959,-0.76066655,0.15942582,0.87499595,37.87922,0.5921083,17.083557,0.91459745,12.678111,1.4523039,10.457611,1.6433887,-10.020382,21.082058,-0.009475649,0.0045776796,0.02650087,2.3852735,2.0625243,0.26955974,0.19869177,0.2085135,0.30288336,-37.019203,SG419A_Note_Echo_Speaker.mp3
33.48909,0.1423137,31.53578,32.977642,34.64311,3.1073284,289.36777,471.57947,114.80857,284.4275,0.8526567,0.8519693,0.13149025,0.7131531,1.4546773,1.3231871,13.089453,6.456257,9.6469145,5.8828363,0.40021995,0.8765425,23.354765,0.9965204,-1.766916,-13.056134,13.019612,1.5079272,-2.884549,-6.967139,0.021979637,2.3853896,1.1438421,0.8295546,6.90665,0.69794416,3.1575286,3.306228,16.58422,1.0263613,533.8242,0.33283922,1215.5095,0.23295799,-58.367424,-1.4620557,1612.0972,0.15465543,892.4438,0.5262506,-62.4727,-1.2657228,2598.725,0.114517,959.61487,0.5427023,-64.167145,-1.214918,-10.260144,-1.0129294,18.916975,0.6456783,0.08254212,0.37772715,-0.025901645,-0.76097965,0.5209712,0.6244989,32.162075,0.5587152,-5.238776,-4.2441,15.797544,1.315323,-6.3138785,-3.3127816,-3.252769,13.894578,0.035250682,0.004658443,0.06794905,3.2786884,1.4184397,0.5163158,0.5222241,0.1965625,0.3843469,-27.113241,XW419A_Intro_Charlie_Speaker.mp3
31.241463,0.21074289,29.129074,31.06107,33.512985,4.383911,319.591,389.6055,87.76617,85.652885,0.7191406,0.8185482,0.10837938,0.6606578,1.1455729,1.0371935,11.249132,7.1473784,6.5954313,3.706798,0.42983794,0.94676024,25.735226,0.77517474,6.003497,3.301388,15.56119,1.2030196,-6.119718,-2.9787302,0.043744892,2.114378,1.2486547,0.7794375,5.526909,0.98255897,5.1727166,2.32194,26.72333,0.55908424,574.7868,0.35481593,1219.7081,0.2231793,-56.82244,-1.4947768,1674.8394,0.18145971,894.7263,0.47106388,-65.26612,-1.1758819,2676.154,0.11011493,891.34,0.50968224,-68.73517,-1.0855055,-16.390795,-0.7237486,25.460157,0.44827822,0.083465695,0.3591571,-0.027789526,-0.688271,0.5563937,0.7046141,32.482296,0.49368042,4.725656,4.2504826,19.373816,0.9534344,-11.162158,-1.5005114,-8.125078,18.497475,0.010014651,-0.0023175734,0.067095004,2.6956973,1.7151767,0.42575756,0.37105116,0.15928571,0.14397243,-25.710297,SG415A_Intro_Delta_Speaker.mp3
24.637142,0.24732694,21.904148,23.474009,25.640364,3.7362156,475.40634,1110.6687,76.186676,83.125496,0.7163841,0.97172594,0.012609916,0.6140689,1.437849,1.4252391,11.293714,7.0589075,10.18944,5.3986936,0.39088216,1.0322251,19.717436,1.2400614,-4.568572,-4.0022388,11.089704,1.4756421,4.8220263,2.891561,0.025554314,1.4183418,1.4851177,0.768004,2.3648212,1.550977,7.6592803,1.327744,15.264581,0.78346276,521.39685,0.43499938,1210.1493,0.23499355,-93.49667,-1.0123433,1527.5378,0.17854662,934.5709,0.28986624,-93.642624,-0.98097795,2511.525,0.11114756,892.60895,0.430226,-96.41983,-0.92475986,-8.673942,-0.9992375,18.688673,0.47370884,0.038368244,1.0727496,-0.014199428,-1.2579479,0.6268098,0.5479055,35.131508,0.477985,-12.594071,-1.336571,14.575121,1.2484336,5.2376676,3.0910602,-6.6056314,16.67867,0.025355373,0.0098950295,0.12182853,2.7759418,1.5251989,0.35999998,0.2867206,0.26041666,0.58656824,-28.240244,SG422A_Intro_Delta_Speaker.mp3
35.465942,0.14653133,33.21494,35.011955,37.09414,3.8792,372.19516,530.3547,187.83076,512.48334,0.7077442,0.7337755,0.20005809,0.6463294,1.1442648,0.9442067,10.336356,5.7053523,6.768266,3.8350923,0.37117857,0.8723398,26.070217,0.77131087,3.4644544,6.4706984,13.685327,1.5541867,-4.7772417,-4.5693293,0.028972011,2.1770594,1.1625789,0.772049,7.889967,0.66215867,4.1126,3.411808,18.325195,0.8563694,636.8671,0.31300095,1251.4775,0.23754188,-60.617836,-1.3161179,1690.925,0.14926374,901.25885,0.519224,-61.370216,-1.1894213,2772.2585,0.124720745,859.43384,0.6615284,-66.078,-1.062979,-13.996645,-0.83177054,24.327332,0.53029037,0.05355713,0.66399187,-0.0223748,-0.8617085,0.45712134,0.67896545,31.809834,0.522252,0.27343687,79.317635,15.2686,1.472856,-10.162069,-1.9880064,-8.593569,20.924675,-0.011472224,-0.0015441803,0.0681657,2.8433056,1.4542612,0.5258064,0.5185864,0.14840908,0.2204844,-26.992945,SG4111_Note_Delta_Speaker.mp3
34.466694,0.1466699,32.68476,34.469547,36.38755,3.7027893,135.76978,115.902504,72.07957,73.69264,0.9661066,0.8387469,0.04943604,0.872826,1.769418,1.7199819,15.200399,8.617058,9.676544,5.870504,0.45059508,0.9275636,20.225975,0.8925919,-6.8844056,-2.8509212,11.401739,1.6347703,-13.21551,-1.7324691,0.029926479,2.1493866,1.2179706,0.92787766,6.2921505,0.9023891,4.8303795,2.1948714,14.572313,0.81469816,494.83875,0.35869238,1149.2249,0.23873223,-75.84219,-1.2325206,1549.2509,0.13956164,824.9398,0.47774562,-74.97683,-1.1381686,2572.764,0.09213021,889.71875,0.5105598,-75.539085,-1.118745,-9.717015,-0.83741903,18.028894,0.5413683,0.09521291,0.32016033,-0.02253407,-0.72761947,0.64043385,0.5792088,28.9105,0.45695797,-13.109807,-1.4070222,14.203442,1.4524956,-22.069822,-0.9585282,-6.2263727,15.364217,0.030338535,0.0057100025,0.06968243,2.5189786,1.4517802,0.45738092,0.33028167,0.22641025,0.35297626,-26.387476,XC419A_Intro_Delta_Speaker.mp3
25.186092,0.20507003,23.636957,24.356506,26.146297,2.5093403,239.08443,324.78,264.07358,817.64014,0.72972935,0.82988316,0.018154372,0.7034974,1.2735033,1.2553489,8.237442,4.5413413,6.286141,3.4212887,0.47753507,0.9407973,30.861437,0.7983251,2.1417243,8.559727,7.9910984,2.2465575,-0.9641284,-17.281187,0.04806767,1.8187566,1.6150454,0.7758596,2.3087862,2.1443229,4.258294,1.9134318,25.919394,0.48255107,471.08655,0.37201273,1290.2858,0.16480072,-63.293064,-1.4360965,1428.5533,0.18115754,1028.7451,0.28193113,-70.110245,-1.2035156,2424.8264,0.1438098,860.5128,0.3440415,-76.799614,-1.0385062,-15.370695,-0.6219972,28.030857,0.38731113,0.06601016,0.47275135,-0.02044579,-0.6620001,0.65373,0.62619096,43.12165,0.3679709,-0.54500186,-33.45354,9.200218,2.1349955,-4.3843174,-3.978004,-10.444333,21.143356,0.03384595,0.009658656,0.08937247,2.3094687,1.4351852,0.48064518,0.3539358,0.20827587,0.4358825,-26.144056,XC412A_Intro_Bravo_Speaker.mp3
29.90462,0.2109152,27.566591,29.981434,31.858475,4.2918835,303.19437,556.45667,165.85205,237.38826,0.358902,0.88484925,0.03055854,0.28714415,0.6275083,0.59694976,6.5374055,4.275981,3.7393982,2.2928197,0.17690524,1.081989,33.12787,0.63729304,-1.3204075,-14.648535,-8.564335,-2.326584,-18.762897,-0.9057688,0.052480873,1.990487,1.4635179,0.72038,3.741265,1.4568331,-2.8665998,-4.065309,26.514868,0.773003,671.5991,0.3348994,1418.2805,0.19369955,-64.45447,-1.5251578,1608.1035,0.20217672,1063.9037,0.34841895,-69.54029,-1.3077668,2719.803,0.13555089,917.7454,0.4214888,-78.74236,-1.0736929,-14.978177,-0.5683522,30.417913,0.48396486,0.111771755,0.24621475,-0.03402863,-0.43267453,0.25497127,0.7424413,44.047226,0.32927668,-5.71486,-3.2733917,-13.6340885,-1.4989827,-23.782587,-0.65404606,-11.825977,21.300629,0.026941424,-0.012597752,0.021358315,2.6455026,1.2971699,0.50863636,0.4544256,0.295,0.32080194,-34.69463,SG4131_Intro_Bravo_Speaker.mp3
34.431965,0.22579113,33.678936,34.71376,36.416454,2.7375183,395.16382,609.55084,106.35082,121.21777,0.78621495,0.6882141,0.31940958,0.73003876,1.1948274,0.8754178,12.258117,6.500163,8.150042,4.9644785,0.42132547,0.7948678,17.600677,1.5007403,4.3547072,5.3269553,18.025318,1.3315942,0.26254642,74.94456,0.04615492,1.7968677,1.2115394,0.890122,6.521766,0.9523112,5.642913,2.5278506,14.452567,1.3129153,752.57715,0.3861745,1209.9963,0.26542303,-68.96348,-1.1640596,1779.5741,0.16515753,911.4524,0.47440094,-68.012436,-1.0952469,2828.9685,0.11091513,791.4399,0.54801434,-69.99453,-1.0426407,-11.511361,-1.217876,22.724197,0.66108274,0.05168984,0.61146665,-0.011639149,-1.5947276,0.49002826,0.63553095,25.605783,0.8680077,2.2448788,9.830811,19.435345,1.2780144,-2.3385165,-8.317498,-0.719556,9.965528,0.0065652267,0.00097201724,0.22192404,3.9151227,2.5748506,0.28081396,0.29244444,0.09697369,0.09840865,-25.834309,XC412A_Note_Charlie_Speaker.mp3
